V1,V2,authors
0.0013881773325824611,-0.01270553158591594,B Schott
0.005929941011076434,-3.236915623395652e-4,B Sheth
-0.01827167063745036,2.997545477287456e-4,B Shields
-0.03383764663162932,-5.162190431002678e-4,B Stankiewicz
-0.005087986843728934,-0.010134244710536065,B Stein
-0.01998444560390813,-4.0072515605308077e-4,B Sweet
0.010987298620886463,2.2909188320666804e-4,B Timney
0.01917940315823049,-0.0045056141390411785,B Tjan
0.012881258709922867,-0.005313370474990843,B Tsou
-0.007535416664716433,-0.02507724578928203,B Wesenick
-0.01594950625053508,0.006087676919222394,B Willems
0.025770204224111967,-0.010075415561831226,B Willmore
-0.029521689522773887,0.00608690899591148,B Wu
0.028152037873688966,0.003836597628568645,B Zenger-Landolt
-8.843083040951125e-4,-0.024439804402177467,C Abbey
