"","from","to","year"
"577",263,462,2001
"578",263,646,2001
"579",263,705,2001
"580",264,334,2001
"581",264,602,2001
"582",265,266,2001
"583",265,782,2001
"584",266,782,2001
"585",267,783,2001
"586",268,367,2001
"587",268,479,2001
"588",268,605,2001
"589",269,723,2001
"590",270,411,2001
"591",270,784,2001
"592",271,348,2001
"593",271,412,2001
"594",271,470,2001
"595",271,537,2001
"596",271,552,2001
"597",271,785,2001
"598",271,661,2001
"599",272,396,2001
"600",272,556,2001
"601",272,786,2001
"602",273,697,2001
"603",274,535,2001
"604",274,677,2001
"605",275,496,2001
"606",275,787,2001
"607",276,338,2001
"608",276,461,2001
"609",277,380,2001
"610",277,602,2001
"611",277,528,2001
"612",277,560,2001
"613",277,788,2001
"614",278,664,2001
"615",279,324,2001
"616",279,698,2001
"617",280,387,2001
"618",280,589,2001
"619",280,592,2001
"620",280,740,2001
"621",281,297,2001
"622",282,600,2001
"623",283,488,2001
"624",283,789,2001
"625",284,765,2001
"626",285,710,2001
"627",286,403,2001
"628",286,781,2001
"629",287,790,2001
"630",288,780,2001
"631",289,398,2001
"632",289,402,2001
"633",289,560,2001
"634",289,769,2001
"635",290,319,2001
"636",290,596,2001
"637",291,317,2001
"638",291,336,2001
"639",291,468,2001
"640",291,668,2001
"641",291,666,2001
"642",291,598,2001
"643",292,309,2001
"644",292,409,2001
"645",292,666,2001
"646",293,317,2001
"647",293,668,2001
"648",293,514,2001
"649",294,679,2001
"650",295,791,2001
"651",296,316,2001
"652",296,588,2001
"653",297,792,2001
"654",298,301,2001
"655",298,425,2001
"656",298,793,2001
"657",298,794,2001
"658",299,511,2001
"659",299,615,2001
"660",300,383,2001
"661",300,772,2001
"662",301,625,2001
"663",301,793,2001
"664",302,615,2001
"665",303,305,2001
"666",303,795,2001
"667",304,626,2001
"668",305,306,2001
"669",305,433,2001
"670",305,530,2001
"671",305,796,2001
"672",305,549,2001
"673",305,795,2001
"674",306,795,2001
"675",307,578,2001
"676",307,797,2001
"677",308,341,2001
"678",308,439,2001
"679",308,462,2001
"680",308,498,2001
"681",308,704,2001
"682",308,798,2001
"683",309,409,2001
"684",309,666,2001
"685",310,415,2001
"686",310,480,2001
"687",310,764,2001
"688",311,350,2001
"689",311,799,2001
"690",312,606,2001
"691",313,341,2001
"692",313,773,2001
"693",314,364,2001
"694",315,574,2001
"695",315,577,2001
"696",316,588,2001
"697",317,468,2001
"698",317,514,2001
"699",317,781,2001
"700",317,666,2001
"701",318,381,2001
"702",318,701,2001
"703",319,596,2001
"704",320,800,2001
"705",321,343,2001
"706",321,755,2001
"707",322,434,2001
"708",322,519,2001
"709",323,340,2001
"710",323,801,2001
"711",323,802,2001
"712",324,359,2001
"713",324,438,2001
"714",324,698,2001
"715",324,555,2001
"716",324,700,2001
"717",325,406,2001
"718",325,569,2001
"719",325,649,2001
"720",326,514,2001
"721",327,600,2001
"722",328,418,2001
"723",328,459,2001
"724",328,559,2001
"725",328,728,2001
"726",329,767,2001
"727",330,378,2001
"728",330,489,2001
"729",330,803,2001
"730",331,358,2001
"731",331,529,2001
"732",332,470,2001
"733",332,552,2001
"734",333,746,2001
"735",333,747,2001
"736",334,602,2001
"737",335,339,2001
"738",335,348,2001
"739",335,470,2001
"740",335,552,2001
"741",335,579,2001
"742",335,804,2001
"743",336,659,2001
"744",336,650,2001
"745",336,598,2001
"746",337,470,2001
"747",337,805,2001
"748",338,461,2001
"749",339,348,2001
"750",339,470,2001
"751",339,552,2001
"752",339,579,2001
"753",339,804,2001
"754",340,802,2001
"755",341,439,2001
"756",341,773,2001
"757",341,498,2001
"758",341,798,2001
"759",341,703,2001
"760",342,418,2001
"761",343,755,2001
"762",344,654,2001
"763",345,806,2001
"764",346,518,2001
"765",346,807,2001
"766",346,808,2001
"767",347,363,2001
"768",347,364,2001
"769",347,382,2001
"770",347,809,2001
"771",348,470,2001
"772",348,537,2001
"773",348,552,2001
"774",348,579,2001
"775",348,785,2001
"776",348,804,2001
"777",349,441,2001
"778",349,810,2001
"779",350,799,2001
"780",351,461,2001
"781",351,467,2001
"782",351,684,2001
"783",352,811,2001
"784",353,427,2001
"785",353,812,2001
"786",354,426,2001
"787",354,813,2001
"788",355,460,2001
"789",356,447,2001
"790",356,581,2001
"791",356,814,2001
"792",357,815,2001
"793",358,529,2001
"794",359,438,2001
"795",359,555,2001
"796",359,700,2001
"797",360,643,2001
"798",361,816,2001
"799",362,602,2001
"800",363,364,2001
"801",363,382,2001
"802",363,809,2001
"803",363,713,2001
"804",364,382,2001
"805",364,809,2001
"806",365,694,2001
"807",366,544,2001
"808",367,479,2001
"809",367,605,2001
"810",368,505,2001
"811",369,817,2001
"812",370,485,2001
"813",370,516,2001
"814",370,536,2001
"815",370,565,2001
"816",370,818,2001
"817",371,819,2001
"818",372,469,2001
"819",372,820,2001
"820",373,377,2001
"821",373,663,2001
"822",374,760,2001
"823",375,573,2001
"824",375,821,2001
"825",376,623,2001
"826",377,663,2001
"827",378,822,2001
"828",378,489,2001
"829",378,509,2001
"830",378,803,2001
"831",379,588,2001
"832",379,823,2001
"833",380,602,2001
"834",381,701,2001
"835",382,809,2001
"836",383,772,2001
"837",384,714,2001
"838",385,564,2001
"839",385,776,2001
"840",386,538,2001
"841",387,423,2001
"842",387,626,2001
"843",387,589,2001
"844",387,592,2001
"845",387,740,2001
"846",388,397,2001
"847",388,494,2001
"848",388,675,2001
"849",389,824,2001
"850",390,626,2001
"851",391,506,2001
"852",391,569,2001
"853",392,463,2001
"854",393,456,2001
"855",393,825,2001
"856",394,669,2001
"857",395,711,2001
"858",396,556,2001
"859",396,786,2001
"860",397,494,2001
"861",397,675,2001
"862",398,402,2001
"863",398,443,2001
"864",398,680,2001
"865",398,542,2001
"866",398,560,2001
"867",398,826,2001
"868",398,769,2001
"869",398,653,2001
"870",399,561,2001
"871",399,620,2001
"872",400,827,2001
"873",401,762,2001
"874",402,769,2001
"875",403,631,2001
"876",403,781,2001
"877",404,521,2001
"878",404,568,2001
"879",404,580,2001
"880",404,591,2001
"881",404,828,2001
"882",405,777,2001
"883",406,569,2001
"884",406,649,2001
"885",407,463,2001
"886",408,626,2001
"887",409,666,2001
