"","from","to","year"
"692",121,356,2001
"693",122,339,2001
"694",123,169,2001
"695",123,178,2001
"696",123,356,2001
"697",124,224,2001
"698",124,357,2001
"699",125,177,2001
"700",125,179,2001
"701",125,358,2001
"702",126,157,2001
"703",126,359,2001
"704",127,360,2001
"705",128,361,2001
"706",129,170,2001
"707",129,192,2001
"708",129,198,2001
"709",130,216,2001
"710",130,362,2001
"711",130,363,2001
"712",130,364,2001
"713",131,230,2001
"714",131,234,2001
"715",131,365,2001
"716",132,366,2001
"717",133,182,2001
"718",133,367,2001
"719",134,197,2001
"720",134,349,2001
"721",135,330,2001
"722",136,368,2001
"723",137,220,2001
"724",138,180,2001
"725",138,232,2001
"726",139,327,2001
"727",140,329,2001
"728",141,324,2001
"729",142,237,2001
"730",143,369,2001
"731",143,183,2001
"732",143,210,2001
"733",143,370,2001
"734",144,252,2001
"735",144,277,2001
"736",145,371,2001
"737",146,372,2001
"738",147,176,2001
"739",147,250,2001
"740",147,305,2001
"741",148,285,2001
"742",149,240,2001
"743",149,373,2001
"744",150,241,2001
"745",150,278,2001
"746",151,212,2001
"747",151,374,2001
"748",152,375,2001
"749",153,187,2001
"750",153,376,2001
"751",154,377,2001
"752",155,166,2001
"753",155,321,2001
"754",156,191,2001
"755",156,232,2001
"756",157,359,2001
"757",158,316,2001
"758",159,160,2001
"759",159,171,2001
"760",160,171,2001
"761",161,215,2001
"762",161,251,2001
"763",162,378,2001
"764",163,379,2001
"765",164,199,2001
"766",164,202,2001
"767",164,209,2001
"768",164,263,2001
"769",164,353,2001
"770",164,296,2001
"771",165,227,2001
"772",165,380,2001
"773",166,321,2001
"774",167,173,2001
"775",167,381,2001
"776",168,332,2001
"777",169,178,2001
"778",169,356,2001
"779",170,192,2001
"780",170,198,2001
"781",171,382,2001
"782",171,383,2001
"783",172,286,2001
"784",173,381,2001
"785",174,336,2001
"786",175,176,2001
"787",176,250,2001
"788",176,305,2001
"789",177,179,2001
"790",177,358,2001
"791",178,384,2001
"792",178,356,2001
"793",179,358,2001
"794",180,232,2001
"795",180,306,2001
"796",181,275,2001
"797",182,367,2001
"798",183,210,2001
"799",183,370,2001
"800",184,259,2001
"801",184,385,2001
"802",185,200,2001
"803",185,386,2001
"804",186,325,2001
"805",187,376,2001
"806",188,195,2001
"807",188,341,2001
"808",189,207,2001
"809",189,218,2001
"810",190,218,2001
"811",191,232,2001
"812",192,198,2001
"813",193,232,2001
"814",193,235,2001
"815",193,280,2001
"816",194,243,2001
"817",194,331,2001
"818",195,341,2001
"819",196,225,2001
"820",196,387,2001
"821",197,349,2001
"822",198,208,2001
"823",198,244,2001
"824",198,301,2001
"825",199,202,2001
"826",199,209,2001
"827",199,263,2001
"828",199,353,2001
"829",199,296,2001
"830",200,386,2001
"831",201,388,2001
"832",202,209,2001
"833",202,263,2001
"834",202,353,2001
"835",203,389,2001
"836",204,218,2001
"837",204,390,2001
"838",205,260,2001
"839",205,391,2001
"840",206,304,2001
"841",207,218,2001
"842",208,244,2001
"843",208,301,2001
"844",209,263,2001
"845",209,353,2001
"846",210,370,2001
"847",211,351,2001
"848",212,374,2001
"849",213,392,2001
"850",214,238,2001
"851",214,332,2001
"852",215,251,2001
"853",216,364,2001
"854",217,393,2001
"855",218,394,2001
"856",218,390,2001
"857",219,395,2001
"858",220,396,2001
"859",220,293,2001
"860",221,251,2001
"861",222,397,2001
"862",223,398,2001
"863",224,357,2001
"864",225,387,2001
"865",226,399,2001
"866",227,380,2001
"867",228,348,2001
"868",229,352,2001
"869",230,234,2001
"870",230,365,2001
"871",231,279,2001
"872",232,340,2001
"873",232,235,2001
"874",232,280,2001
"875",233,312,2001
"876",234,365,2001
"877",235,280,2001
"878",236,251,2001
"879",237,262,2001
"880",237,400,2001
"881",238,332,2001
"882",239,401,2001
"883",240,373,2001
"884",241,278,2001
"885",242,402,2001
"886",243,331,2001
"887",244,301,2001
"888",245,403,2001
"889",246,313,2001
"890",247,401,2001
"891",248,404,2001
"892",249,254,2001
"893",249,405,2001
"894",250,305,2001
"895",251,406,2001
"896",252,277,2001
"897",253,407,2001
"898",254,405,2001
"899",255,408,2001
"900",256,296,2001
"901",257,267,2001
"902",258,385,2001
"903",259,385,2001
"904",260,391,2001
"905",261,266,2001
"906",262,400,2001
"907",263,353,2001
"908",264,409,2001
"909",264,410,2001
"910",264,411,2001
"911",265,412,2001
"912",266,285,2001
"913",267,413,2001
"914",268,414,2001
"915",269,346,2001
"916",1,188,2002
"917",1,279,2002
"918",2,190,2002
"919",2,280,2002
"920",3,281,2002
"921",3,282,2002
"922",4,122,2002
"923",4,283,2002
"924",5,83,2002
"925",5,181,2002
"926",5,284,2002
"927",6,47,2002
"928",6,285,2002
"929",6,286,2002
"930",7,90,2002
"931",7,218,2002
"932",7,245,2002
"933",7,252,2002
"934",8,187,2002
"935",8,287,2002
"936",9,288,2002
"937",10,31,2002
"938",11,289,2002
"939",12,159,2002
"940",12,249,2002
"941",12,290,2002
"942",13,291,2002
"943",14,167,2002
"944",15,19,2002
"945",15,292,2002
"946",16,21,2002
"947",16,29,2002
"948",16,49,2002
"949",16,78,2002
"950",16,216,2002
"951",16,226,2002
"952",16,235,2002
"953",16,293,2002
"954",17,294,2002
"955",18,59,2002
"956",18,65,2002
"957",18,86,2002
"958",18,295,2002
"959",19,292,2002
"960",20,170,2002
"961",20,296,2002
"962",20,270,2002
"963",21,49,2002
"964",21,78,2002
"965",22,297,2002
"966",23,298,2002
"967",24,137,2002
"968",24,299,2002
"969",25,300,2002
"970",26,65,2002
"971",26,301,2002
"972",27,150,2002
"973",27,302,2002
"974",28,48,2002
"975",28,303,2002
"976",29,49,2002
"977",29,78,2002
"978",29,216,2002
"979",29,226,2002
"980",29,235,2002
"981",29,293,2002
"982",30,304,2002
"983",31,305,2002
"984",32,306,2002
"985",33,144,2002
"986",33,307,2002
"987",34,308,2002
"988",34,309,2002
"989",34,310,2002
"990",34,311,2002
"991",35,187,2002
"992",36,312,2002
"993",37,44,2002
"994",37,47,2002
"995",37,313,2002
"996",37,213,2002
"997",37,217,2002
"998",37,314,2002
"999",38,315,2002
"1000",39,316,2002
"1001",40,252,2002
"1002",40,269,2002
"1003",40,317,2002
"1004",41,100,2002
"1005",41,318,2002
"1006",42,120,2002
"1007",42,319,2002
"1008",43,320,2002
"1009",44,213,2002
"1010",44,217,2002
"1011",44,314,2002
"1012",45,321,2002
"1013",46,322,2002
"1014",47,313,2002
"1015",47,285,2002
"1016",47,323,2002
"1017",48,65,2002
"1018",48,84,2002
"1019",48,303,2002
"1020",49,78,2002
"1021",49,216,2002
"1022",49,226,2002
"1023",49,235,2002
"1024",49,293,2002
"1025",50,324,2002
"1026",51,325,2002
"1027",52,326,2002
"1028",53,155,2002
"1029",53,177,2002
"1030",53,299,2002
"1031",54,194,2002
"1032",54,327,2002
"1033",55,85,2002
"1034",55,244,2002
"1035",55,267,2002
"1036",55,328,2002
"1037",56,329,2002
"1038",57,330,2002
"1039",58,331,2002
"1040",59,65,2002
"1041",59,86,2002
"1042",59,295,2002
"1043",60,76,2002
"1044",60,332,2002
"1045",61,333,2002
"1046",62,334,2002
"1047",63,252,2002
"1048",64,275,2002
"1049",64,335,2002
"1050",65,86,2002
"1051",65,336,2002
"1052",65,301,2002
"1053",65,295,2002
"1054",66,127,2002
"1055",66,171,2002
"1056",66,254,2002
"1057",66,263,2002
"1058",66,337,2002
"1059",67,253,2002
"1060",67,255,2002
"1061",67,261,2002
"1062",67,338,2002
