"","new_publication","prior_publication","topic_similarity"
"222",0,0,1.24831154964255
"223",0,0,1.51089140954905
"224",0,0,1.41415045260941
"225",0,0,1.46698803018268
"226",0,0,1.37947295073498
"227",0,0,1.49570146011175
"228",0,0,1.31964545767017
"229",0,0,1.29087254413674
"230",0,0,1.41486694047978
"231",0,0,0.919168941921402
"232",0,0,1.28671854082704
"233",0,0,1.45165774585538
"234",0,0,1.4864616555281
"235",0,0,1.31964545767017
"236",0,0,1.45347170627079
"237",0,0,1.46990330517446
"238",0,0,1.40172806041931
"239",0,0,1.48346246172674
"240",0,0,1.47359574386582
"241",0,0,1.5162560009173
"242",0,0,1.49880316913544
"243",0,0,1.51406968229967
"244",0,0,1.47359574386582
"245",0,0,1.48696604168292
"246",0,0,1.50082159602784
"247",0,0,1.50467866466455
"248",0,0,1.52761192829299
"249",0,0,1.45129780356295
"250",0,0,1.51406968229967
"251",0,0,1.49042160152957
"252",0,0,1.48098359184094
"253",0,0,1.42173534744163
"254",0,0,1.48524231092458
"255",0,0,1.38500657694315
"256",0,0,1.3773631316831
"257",0,0,1.53050041992891
"258",0,0,1.4864616555281
"259",0,0,1.49528468942995
"260",0,0,1.41093090540983
"261",0,0,1.49819925787251
"262",0,0,1.48010842336682
"263",0,0,1.49523559738798
"264",0,0,1.50824405559562
"265",0,0,1.51841824607269
"266",0,0,1.50352603863156
"267",0,0,1.53376372310179
"268",0,0,1.50082159602784
"269",0,0,1.50467866466455
"270",0,0,1.45919889476657
"271",0,0,1.54754525880402
"272",0,0,1.45391333709096
"273",0,0,1.53376372310179
"274",0,0,1.49348509920663
"275",0,0,1.28927547004435
"276",0,0,1.35723489363251
"277",0,0,1.48524231092458
"278",0,0,1.49528468942995
"279",0,0,1.40787210524415
"280",0,0,1.45114894033276
"281",0,0,1.49528468942995
"282",0,0,1.44964987971541
"283",0,0,1.50210482029809
"284",0,0,1.50736403250584
"285",0,0,1.41486694047978
"286",0,0,1.42997782647946
"287",0,0,1.40218902405635
"288",0,0,1.4401708171785
"289",0,0,1.54195214665332
"290",0,0,1.53527319112924
"291",0,0,1.44120551581623
"292",0,0,1.49677134565605
"293",0,0,1.47426540838369
"294",0,0,1.46638693564371
"295",0,0,1.49741663699856
"296",0,0,1.50378306779643
"297",0,0,1.49880316913544
"298",0,0,1.4850611998461
"299",0,0,1.4850611998461
"300",0,0,1.4966647251168
"301",0,0,1.50507773584784
"302",0,0,1.41316906966208
"303",0,0,1.44772680854818
"304",0,0,1.44575067594202
"305",0,0,1.35723489363251
"306",0,0,1.51216909643149
"307",0,0,1.51393842997885
"308",0,0,1.55002117244706
"309",0,0,1.50082159602784
"310",0,0,1.50012692993377
"311",0,0,1.5162560009173
"312",0,0,1.48524231092458
"313",0,0,1.4022055888936
"314",0,0,1.4864616555281
"315",0,0,1.35907983810797
"316",0,0,1.50853791042395
"317",0,0,1.41219666988139
"318",0,0,1.4958389215213
"319",0,0,1.49242346705547
"320",0,0,1.51033515711214
"321",0,0,1.4493522225663
"322",0,0,1.4022055888936
"323",0,0,1.49459542405944
"324",0,0,1.49385104748934
"325",0,0,1.41316906966208
"326",0,0,1.47426540838369
"327",0,0,1.49523559738798
"328",0,0,1.4136874743534
"329",0,0,1.49368602111103
"330",0,0,1.50893186838046
"331",0,0,1.43356171192837
"332",0,0,1.49819925787251
"333",0,0,1.4375535666727
"334",0,0,1.46154800698422
"335",0,0,1.49528468942995
"336",0,0,1.42173534744163
"337",0,0,1.35084624968481
"338",0,0,1.50434664176194
"339",0,0,1.49487349028508
"340",0,0,1.48346246172674
"341",0,0,1.53376372310179
"342",0,0,1.45347170627079
"343",0,0,1.51841824607269
"344",0,0,1.50837915779214
