"","label","CM","measure","pct"
"73","N Bramley","degree",17,0.993548387096774
"74","D Lagnado","degree",17,0.993460008837826
"75","S Gershman","degree",17,0.993371630578878
"76","N Newcombe","degree",17,0.993283252319929
"77","K Holmes","degree",17,0.993194874060981
"78","K Livingston","degree",17,0.993106495802033
"79","P Patel","degree",17,0.993018117543084
"80","J Wang","degree",16,0.992929739284136
"81","J Nelson","degree",16,0.992841361025188
"82","T Lombrozo","degree",16,0.992752982766239
"83","Y Wang","degree",16,0.992664604507291
"84","C Wu","degree",16,0.992576226248343
"85","M Staudte","degree",16,0.992487847989395
"86","R Hertwig","degree",16,0.992399469730446
"87","M Franke","degree",16,0.992311091471498
"88","M Srinivasan","degree",16,0.99222271321255
"89","J Degen","degree",16,0.992134334953601
"90","G Cottrell","degree",16,0.992045956694653
"91","T Rogers","degree",16,0.991957578435705
"92","S Zhu","degree",16,0.991869200176757
"93","J Booth","degree",16,0.991780821917808
"94","D Abney","degree",16,0.99169244365886
"95","H Bulthoff","degree",16,0.991604065399912
"96","M Spivey","degree",15,0.991515687140963
"97","N Taatgen","degree",15,0.991427308882015
"98","L Casasanto","degree",15,0.991338930623067
"99","G Lupyan","degree",15,0.991250552364118
"100","C Chen","degree",15,0.99116217410517
"101","M Dye","degree",15,0.991073795846222
"102","E Thiessen","degree",15,0.990985417587274
"103","C Lucas","degree",15,0.990897039328325
"104","M Penner-Wilger","degree",15,0.990808661069377
"105","L Blaha","degree",15,0.990720282810429
"106","D Barner","degree",15,0.99063190455148
"107","D Yurovsky","degree",15,0.990543526292532
"108","M Goldwater","degree",15,0.990455148033584
"109","T Ullman","degree",15,0.990366769774635
"110","N Daw","degree",15,0.990278391515687
"111","P Cheng","degree",14,0.990190013256739
"112","J Snedeker","degree",14,0.990101634997791
"113","F Gobet","degree",14,0.990013256738842
"114","K Ueda","degree",14,0.989924878479894
"115","M Scheutz","degree",14,0.989836500220946
"116","J Phillips","degree",14,0.989748121961997
"117","B Newell","degree",14,0.989659743703049
"118","C Eliasmith","degree",14,0.989571365444101
"119","J Anderson","degree",14,0.989482987185152
"120","T Stewart","degree",14,0.989394608926204
"121","H Wang","degree",14,0.989306230667256
"122","J Jordan","degree",14,0.989217852408308
"123","L Perry","degree",14,0.989129474149359
"124","B Landau","degree",14,0.989041095890411
"125","M Hegarty","degree",14,0.988952717631463
"126","S Roberts","degree",14,0.988864339372514
"127","B Walker","degree",14,0.988775961113566
"128","S Chen","degree",14,0.988687582854618
"129","P Tupper","degree",14,0.988599204595669
"130","A Perfors","degree",14,0.988510826336721
"131","M Louwerse","degree",14,0.988422448077773
"132","P Healey","degree",14,0.988334069818825
"133","S Bridgers","degree",14,0.988245691559876
"134","A Wente","degree",14,0.988157313300928
"135","S Musslick","degree",14,0.98806893504198
"136","V Simmering","degree",14,0.987980556783031
"137","N Livingston","degree",14,0.987892178524083
"138","J Bongard","degree",14,0.987803800265135
"139","A Graesser","degree",13,0.987715422006186
"140","M Welsh","degree",13,0.987627043747238
"141","K Kurtz","degree",13,0.98753866548829
"142","J McClelland","degree",13,0.987450287229342
"143","S Smith","degree",13,0.987361908970393
"144","S Frank","degree",13,0.987273530711445
"145","P Chen","degree",13,0.987185152452497
"146","M Crocker","degree",13,0.987096774193548
"147","J Trueblood","degree",13,0.9870083959346
"148","T Goksun","degree",13,0.986920017675652
"149","F Vallee-Tourangeau","degree",13,0.986831639416703
"150","G Gunzelmann","degree",13,0.986743261157755
"151","S Levine","degree",13,0.986654882898807
"152","I Yildirim","degree",13,0.986566504639859
"153","P Hemmer","degree",13,0.98647812638091
"154","E Konstantinidis","degree",13,0.986389748121962
"155","H Terai","degree",13,0.986301369863014
"156","D Markant","degree",13,0.986212991604065
"157","A Paxton","degree",13,0.986124613345117
"158","C Kello","degree",13,0.986036235086169
"159","X Zhao","degree",13,0.985947856827221
"160","B Meder","degree",13,0.985859478568272
"161","C Myers","degree",13,0.985771100309324
"162","T Davis","degree",13,0.985682722050376
"163","T Hashimoto","degree",13,0.985594343791427
"164","L Boroditsky","degree",12,0.985505965532479
"165","Y Sun","degree",12,0.985417587273531
"166","B Jee","degree",12,0.985329209014582
"167","T Jaeger","degree",12,0.985240830755634
"168","J Peterson","degree",12,0.985152452496686
"169","M Wang","degree",12,0.985064074237738
"170","J Zhang","degree",12,0.984975695978789
"171","M Smith","degree",12,0.984887317719841
"172","P Parnamets","degree",12,0.984798939460893
"173","S Jaeggi","degree",12,0.984710561201944
"174","P Carvalho","degree",12,0.984622182942996
"175","N Srivastava","degree",12,0.984533804684048
"176","K Holyoak","degree",12,0.984445426425099
"177","K Coventry","degree",12,0.984357048166151
"178","J Hamrick","degree",12,0.984268669907203
"179","N Fay","degree",12,0.984180291648254
"180","A Chemero","degree",12,0.984091913389306
"181","S Vosniadou","degree",12,0.984003535130358
"182","B Malle","degree",12,0.98391515687141
"183","R Aboody","degree",12,0.983826778612461
"184","J Zemla","degree",12,0.983738400353513
"185","S Kirby","degree",12,0.983650022094565
"186","N Evans","degree",12,0.983561643835616
"187","Z Cai","degree",12,0.983473265576668
"188","A Shenhav","degree",12,0.98338488731772
"189","T Konno","degree",12,0.983296509058772
"190","R Shiffrin","degree",11,0.983208130799823
"191","S Dennis","degree",11,0.983119752540875
"192","C Robinson","degree",11,0.983031374281927
"193","M Inuzuka","degree",11,0.982942996022978
"194","A Jones","degree",11,0.98285461776403
"195","S Ito","degree",11,0.982766239505082
"196","J Huang","degree",11,0.982677861246133
"197","D Casasanto","degree",11,0.982589482987185
"198","C Fisher","degree",11,0.982501104728237
"199","J Vitale","degree",11,0.982412726469289
"200","R Wilson","degree",11,0.98232434821034
"201","A Otto","degree",11,0.982235969951392
"202","J Jones","degree",11,0.982147591692444
"203","K Terai","degree",11,0.982059213433495
"204","I Toni","degree",11,0.981970835174547
"205","C Kemp","degree",11,0.981882456915599
"206","S Bhatia","degree",11,0.98179407865665
"207","P Knoeferle","degree",11,0.981705700397702
"208","N Nozari","degree",11,0.981617322138754
"209","D McNamara","degree",11,0.981528943879806
"210","K Allen","degree",11,0.981440565620857
"211","V Romero","degree",11,0.981352187361909
"212","P Battaglia","degree",11,0.981263809102961
"213","N Beckage","degree",11,0.981175430844012
"214","S Stevenson","degree",11,0.981087052585064
"215","T Regier","degree",11,0.980998674326116
"216","A Chan","degree",11,0.980910296067168
"217","D Chen","degree",11,0.980821917808219
"218","M Dingemanse","degree",11,0.980733539549271
"219","R Hawkins","degree",11,0.980645161290323
"220","C Donkin","degree",11,0.980556783031374
"221","K Johannes","degree",11,0.980468404772426
"222","Y Zhu","degree",11,0.980380026513478
"223","F Lieder","degree",11,0.980291648254529
"224","M Perlman","degree",11,0.980203269995581
