"","from","to"
"482","C Abbey","S Shimozaki"
"483","C Abbey","M Eckstein"
"484","G Andersen","C Sauer"
"485","A Saidpour","C Sauer"
"486","A Saidpour","G Andersen"
"491","M Shiffrar","M Shiffrar"
"492","N Rubin","D Stanley"
"493","B Pinna","L Spillmann"
"494","S Shimojo","Y Kamitani"
"495","P Kellman","S Guttman"
"496","P Kellman","P Garrigan"
"498","S Palmer","L Barghout"
"499","C Tyler","L Barghout"
"500","C Tyler","S Palmer"
"501","S Shimojo","S Shimojo"
"502","A Gilchrist","A Gilchrist"
"504","Z Liu","H Lu"
"505","E Colombo","E Colombo"
"506","D Purves","D Purves"
"507","L Wilcox","P Duke"
"508","S Chien","S Chien"
"509","F Bonato","F Bonato"
"510","M Hawken","M Hawken"
"511","P Bex","P Bex"
"513","D Alais","F Verstraten"
"514","D Burr","F Verstraten"
"515","D Burr","D Alais"
"517","Q Vuong","I Thornton"
"519","K Valois","T Takeuchi"
"520","M Smagt","G Stoner"
"521","I Murakami","Y Sasaki"
"522","T Watanabe","Y Sasaki"
"523","T Watanabe","I Murakami"
"524","R Tootell","Y Sasaki"
"525","R Tootell","I Murakami"
"526","R Tootell","T Watanabe"
"527","S Nishida","Y Sasaki"
"528","S Nishida","I Murakami"
"529","S Nishida","T Watanabe"
"530","S Nishida","R Tootell"
"531","S Wuerger","A Ruppertsberg"
"532","M Bertamini","A Ruppertsberg"
"533","M Bertamini","S Wuerger"
"535","S Pas","C Paffen"
"536","R Kanai","C Paffen"
"537","R Kanai","S Pas"
"538","F Verstraten","C Paffen"
"539","F Verstraten","S Pas"
"540","F Verstraten","R Kanai"
"542","S Nishida","S Nishida"
"543","H Hock","D Nichols"
"544","D Knill","J Najemnik"
"545","J Saunders","J Najemnik"
"546","J Saunders","D Knill"
"547","N Matthews","N Matthews"
"548","T Sato","K Maruya"
"550","S Yeh","J Li"
"553","L Gilroy","H Hock"
"554","P Hibbard","P Hibbard"
"555","J Harris","J Harris"
"556","J Wilmer","J Wilmer"
"557","M Banks","S Gepshtein"
"558","C Levitan","S Gepshtein"
"559","C Levitan","M Banks"
"561","T Macuda","F Qiu"
"562","R Heydt","F Qiu"
"563","R Heydt","T Macuda"
"567","S Thompson","L Shams"
"568","S Shimojo","L Shams"
"569","S Shimojo","S Thompson"
"570","M Tarr","Y Cheng"
"572","M Peterson","M Peterson"
"573","P Sinha","P Sinha"
"574","E Aminoff","M Bar"
"575","J Lappin","D Tadin"
"576","C Pack","C Pack"
"577","E Simoncelli","N Rust"
"578","J Movshon","N Rust"
"579","J Movshon","E Simoncelli"
"580","M Smith","N Majaj"
"581","A Kohn","N Majaj"
"582","A Kohn","M Smith"
"583","W Bair","N Majaj"
"584","W Bair","M Smith"
"585","W Bair","A Kohn"
"586","J Movshon","N Majaj"
"588","J Movshon","A Kohn"
"589","J Movshon","W Bair"
"590","T Pasternak","T Pasternak"
"592","W Warren","B Fajen"
"593","M Tarr","W Warren"
"595","M Heyde","B Riecke"
"596","H Bülthoff","B Riecke"
"597","H Bülthoff","M Heyde"
"598","C Ellard","C Ellard"
"599","D Lyon","D Lyon"
"600","J Victor","J Victor"
"601","X Troncoso","S Martinez-Conde"
"602","S Macknik","S Martinez-Conde"
"603","S Macknik","X Troncoso"
"604","D Heeger","D Ress"
"605","D Giaschi","D Giaschi"
"606","F Durgin","F Durgin"
"607","W Warren","W Warren"
"608","W Warren","F Durgin"
"609","R Wilkie","J Wann"
"610","E Brenner","A Brouwer"
"611","J Smeets","A Brouwer"
"612","J Smeets","E Brenner"
"613","T Sugar","M McBeath"
"614","K Watanabe","K Watanabe"
"615","J Solomon","J Solomon"
"616","S Yantis","S Shomstein"
"617","K Shapiro","K Shapiro"
"618","D Bavelier","K Schneider"
"619","R VanRullen","L Reddy"
"620","C Koch","L Reddy"
"622","H Egeth","H Egeth"
"623","Y Osada","Y Osada"
"624","G Alvarez","S Most"
"625","C Morrone","C Morrone"
