V1,V2,authors
0.0059962974123124735,-0.005091983305123708,C Schmitt
0.006950110291771648,-0.0072193395291506425,C Schunn
0.0013876304865941597,-0.007626575409915633,C Sifonis
-0.01893969635929993,-0.008792883664634056,C Snow
-0.025028380888783175,-0.013923672849505846,C Stilwell
-0.026653556307206876,0.001463099805679145,C Tijus
0.0031780704641626626,-0.0036059499706074067,C Tobon
-0.022877076754997,-0.006389611026096128,C Wendelken
0.006876505435423376,-0.008715500888234185,C Werner
-0.01412180195749118,-0.006211793971032188,C Yu
0.032141961857213686,-4.6682697022564184e-4,D Anastasi
-0.014121801957491183,-0.006211793971032184,D Ballard
-0.025869862222271726,-0.010371256150447558,D Barner
-0.02367419216898426,-0.009285363888323702,D Boehm-Davis
0.0013876304865941566,-0.007626575409915627,D Bommarito
